Meal,Day,Station,Items
Lunch,Thursday,Oven,Cheese Pizza; Hawaiian Pizza; Pepperoni Pan Pizza
Lunch,Thursday,Inspired Eats,Herbed Chicken Stew & Dumplings; Sauteed Snow Peas & Peppers
Lunch,Friday,Grill,Grilled Cheese Sandwich - American; Fresh Hamburger; Kielbasa; Patty Melt; Hand Cut French Fries
Lunch,Friday,Salad Bar,BYO - Ramen Bar; Hummus Bar
Lunch,Friday,U Cook,BYO - Grain Bowl Bar
Lunch,Friday,Fresh Stock,Ramen Dashi Broth; Soup Lentil Egg Drop (Eshkeneh-yeh Adas); French Onion Soup
Lunch,Friday,Spoon & Fork,"Vegetable Egg Roll (3 Oz); Shrimp, Garlic & Chile Stir Fry; Vegetable Lo Mein; Spicy Korean Slaw"
Lunch,Friday,V2,Zucchini Noodles & Marinara; Vegan Meatball - Lentils
Lunch,Friday,Oven,Cheese Pizza; Italian Sausage Pizza; Pepperoni Pan Pizza
Lunch,Friday,Inspired Eats,Chicken & Butternut Squash Curry; Indian Pumpkin Butter Chickpeas - Allergen Friendly; Basmati Rice Pilaf
Lunch,Saturday,Grill,Bacon Egg & Cheese Biscuit Sandwich; Chicken & Pepperjack Quesadilla; Egg and Cheese on English Muffin; Fresh Hamburger; Sweet Potato Fries
Lunch,Saturday,Salad Bar,BYO - Ramen Bar; Hummus Bar
Lunch,Saturday,U Cook,BYO - Breakfast Hash
Lunch,Saturday,Fresh Stock,Hot Oatmeal; Kale & Italian Sausage Soup; Ramen Dashi Broth
Lunch,Saturday,Spoon & Fork,Buttermilk Fried Chicken; Smashed Parmesan Potatoes; Corn; Tossed Caesar Salad
Lunch,Saturday,V2,Kale & Quinoa Power Salad
Lunch,Saturday,Oven,Cheese Pizza; Pepperoni Pan Pizza; Taco Pizza
Lunch,Saturday,Inspired Eats,Chopped Pork; Pozole De Frijole; Vegan Cornbread
Lunch,Sunday,Grill,Golden Baked Buttermilk Biscuit; Apple Cream Cheese Stuffed French Toast; Fresh Hamburger; Smoked Gouda Onion Confit Burger; Hand Cut French Fries; Tater Tots; Sausage Gravy
Lunch,Sunday,Salad Bar,BYO - Ramen Bar; Hummus Bar
Lunch,Sunday,U Cook,BYO - Breakfast Hash
Lunch,Sunday,Fresh Stock,Hot Oatmeal; Potato Leek Soup; Ramen Dashi Broth
Lunch,Sunday,Spoon & Fork,Moroccan Braised Beef Tips; Large Garden Salad; Garlic Roasted Red Potatoes; Broccoli Cauliflower & Carrot
Lunch,Sunday,V2,Green Peas; Mushroom Stroganoff Sauce
Lunch,Sunday,Oven,Cheese Pizza; Pepperoni Pan Pizza; Vegetable Pizza
Lunch,Sunday,Inspired Eats,Baked Sweet Potato; Cilantro Grilled Chicken Breast; Collard Greens Salad
